,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1991-03,2.45,4.146,3.414,10.01,3.976,13.986,NKE
1991-04,2.446,4.136,3.133,9.715,3.952,13.667,NKE
1991-05,2.475,4.059,3.921,10.455,3.933,14.388,NKE
1991-06,2.536,3.978,3.486,10.0,3.889,13.888,NKE
1991-07,2.578,3.958,3.826,10.362,3.844,14.206,NKE
1991-08,2.471,3.965,3.193,9.629,3.769,13.398,NKE
1991-09,2.502,3.962,3.876,10.34,3.712,14.052,NKE
1991-10,2.32,4.005,3.262,9.587,3.65,13.237,NKE
1991-11,2.356,3.959,3.536,9.851,3.63,13.481,NKE
1991-12,2.6,3.878,2.77,9.248,3.611,12.859,NKE
1992-01,2.527,4.094,2.947,9.568,3.552,13.12,NKE
1992-02,2.57,4.088,2.078,8.736,3.545,12.281,NKE
1992-03,2.528,4.103,1.965,8.596,3.55,12.146,NKE
1992-04,2.548,4.064,2.615,9.227,3.527,12.754,NKE
1992-05,2.437,4.073,2.767,9.277,3.493,12.771,NKE
1992-06,2.305,4.054,3.32,9.679,3.477,13.156,NKE
1992-07,2.25,4.056,3.062,9.368,3.461,12.829,NKE
1992-08,2.061,4.058,2.733,8.852,3.44,12.292,NKE
1992-09,2.097,4.041,2.569,8.707,3.407,12.114,NKE
1992-10,2.422,3.951,2.22,8.593,3.403,11.996,NKE
1992-11,2.55,3.949,2.11,8.609,3.372,11.981,NKE
1992-12,2.621,4.022,2.021,8.664,3.341,12.005,NKE
1993-01,2.539,4.046,2.011,8.596,3.349,11.945,NKE
1993-02,2.437,4.075,2.63,9.142,3.329,12.471,NKE
1993-03,2.424,4.12,2.506,9.05,3.298,12.348,NKE
1993-04,2.571,4.116,2.652,9.339,3.29,12.629,NKE
1993-05,2.571,4.125,1.869,8.565,3.271,11.836,NKE
1993-06,2.595,4.154,3.095,9.844,3.236,13.079,NKE
1993-07,2.588,4.17,2.697,9.455,3.201,12.656,NKE
1993-08,2.589,4.039,3.214,9.842,3.182,13.024,NKE
1993-09,2.682,4.058,2.713,9.453,3.159,12.612,NKE
1993-10,2.409,4.116,2.85,9.375,3.147,12.522,NKE
1993-11,2.5,4.084,2.299,8.883,3.124,12.007,NKE
1993-12,2.555,4.076,1.718,8.349,3.114,11.463,NKE
1994-01,2.491,4.112,1.649,8.252,3.081,11.333,NKE
1994-02,2.491,4.089,1.961,8.541,3.065,11.606,NKE
1994-03,2.576,4.047,2.422,9.045,3.05,12.095,NKE
